codigo;nome;preco;descricao
1;Café Expresso;6.50;Café concentrado e encorpado 50ml
2;Cappuccino;9.00;Café, leite vaporizado, cacau e canela
3;Chocolate Quente Cremoso;11.00;Bebida cremosa à base de cacau nobre e leite vaporizado
4;Pão de Queijo;5.00;Tradicional pão de queijo de Minas assado na hora
5;Porção de Pão de Queijo;16.00;Porção com 6 mini pães de queijo recheados com o sabor de minas
6;Coxinha de Frango;8.50;Massa crocante com recheio succulento de frango desfiado com catupiry
7;Bolo de Fubá;7.00;Fatia de bolo artesanal caseiro com toque de erva-doce
8;Bolo de Chocolate;8.50;Fatia de bolo fofinho com cobertura generosa de brigadeiro da Tia
9;Bolo de Cenoura;8.00;Fatia do clássico bolo de cenoura com cobertura durinha de chocolate
10;Tapioca com Ovo;12.00;Massa de mandioca recheada com ovos mexidos temperados
11;Tapioca de Queijo e Presunto;13.50;Massa levinha com queijo derretido e presunto fatiado
12;Cuscuz com Ovo;15.00;Cuscuz nordestino quentinho servido com ovos fritos na manteiga
13;Suco Natural de Laranja;8.00;Suco 100% natural e espremido na hora 300ml
14;Suco de Polpa de Maracujá;8.50;Suco refrescante e natural de maracujá 300ml
